data,n_processos,n_nomeacoes,n_peritos,phones_in_db,phones_to_search,phones_found,phones_not_found,successful_messages
10-08-2023,20,0,0,0,20,5,8,6
15-08-2023,25,0,0,0,25,4,14,0
16-08-2023,4,0,0,0,4,3,1,0
21-08-2023,9,0,0,0,9,4,5,8
22-08-2023,6284,51,12,0,48,9,15,18
24-08-2023,11789,99,6,0,23,3,8,3
28-08-2023,14907,122,4,0,30,13,12,23
30-08-2023,60,0,0,0,60,4,45,4
31-08-2023,12099,110,3,0,8,2,4,2
04-09-2023,189133,1311,81,0,137,16,90,16
05-09-2023,203260,1365,94,0,137,19,80,19
06-09-2023,5161,36,4,0,22,2,9,2
08-09-2023,9442,91,2,0,9,4,5,4
